tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000115392	30.5168	35.6495	30.7808	30.9314	35.0721	42.5862	15.328	17.5346	30.7498	27.5514
ENSG00000115414	45.7943	34.6969	70.4799	97.8414	924.013	909.768	344.819	44.7922	425.53	594.414
ENSG00000115415	29.6559	28.232	26.4532	25.5218	32.3839	36.3884	32.7648	27.4782	27.272	24.941
ENSG00000115419	58.4263	58.9718	26.3772	24.4606	22.7232	30.7118	61.6155	67.9081	79.2696	96.7348
ENSG00000115421	19.1932	17.101	14.7669	14.6947	19.274	19.862	16.6421	15.6731	9.60595	9.82064
ENSG00000115423	0.13532	0.0444021	0.378889	0.225699	0.7286	0.531662	0.0944826	0.121836	0.452817	0.192282
ENSG00000115425	8.12288	9.43582	12.2684	12.0471	7.43292	7.85527	4.83846	5.29666	0.980797	2.48121
ENSG00000115446	28.6517	29.5951	47.6696	59.8654	35.1202	33.4362	29.0923	27.5291	18.5355	19.1229
ENSG00000115457	704.755	313.204	749.079	1142.1	148.293	141.826	93.3134	99.8982	90.3695	140.405
ENSG00000115459	4.72476	6.19111	6.42426	6.70884	6.88725	6.06186	9.60549	9.27778	8.99655	7.84441
ENSG00000115461	0.982128	0.364817	0.199485	0.458964	2.05461	2.80424	17.3767	8.34596	85.1841	152.636
ENSG00000115464	29.2361	21.5096	27.7131	24.3873	29.3429	38.0572	32.4078	28.3098	42.7629	47.2688
ENSG00000115468	1.90944	1.01725	2.1963	1.31736	3.57291	3.13658	7.55571	8.90821	1.6555	3.94083
ENSG00000115474	0	0	0	0	0.0992212	0.0905864	0.164572	0	0	0.211669
ENSG00000115484	262.199	279.281	212.109	216.906	178.396	175.921	139.957	168.426	102.284	72.5378
ENSG00000115486	18.0941	20.6265	25.8615	28.0482	32.1064	27.6819	18.8895	17.4326	16.9383	17.4972
ENSG00000115488	0	0	0	0	0	0	0	0	0	0
ENSG00000115504	11.9063	9.82338	9.55456	7.68392	16.5678	19.6059	11.033	13.5703	20.8255	26.8414
ENSG00000115507	0.488798	0.381444	0.944075	1.36391	6.74603	12.5792	0.0847218	0.0488898	0	0.129724
