"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GLULP4",222.419001685479,-2.87274923003003,0.38258940298073,-7.50870047013489,5.97171852394966e-14,1.74291812367965e-11
"DAAM2",3491.57519319651,-1.54366384872099,0.206240426908324,-7.4847781875818,7.16680746787105e-14,2.05626638671392e-11
"PDLIM5",1914.65234249816,-1.66326739388083,0.225225940132341,-7.38488378782439,1.52586603545188e-13,4.30497670802157e-11
"ADAMTS1",46330.1489852709,-2.41829738815994,0.331336681074905,-7.29861052605048,2.90754611111272e-13,8.06867878178953e-11
"MARCH10",69.0684597794282,-4.29949485360819,0.591715232403507,-7.2661554378851,3.69862970989117e-13,9.84876681816675e-11
"MT2P1",3371.12445090308,-2.23129797148829,0.307011950840559,-7.26778864920171,3.65419915157475e-13,9.84876681816675e-11
"TMEM119",5473.33931150799,1.33775464963801,0.184130621018958,7.26524812785091,3.72354133011975e-13,9.84876681816675e-11
"COL1A1",85755.4826675216,1.26010928485216,0.173599709622078,7.25870617868764,3.90810346517874e-13,1.01779039166993e-10
"PHC2",4311.84647839608,-1.40102630746691,0.193078181343114,-7.25626426414899,3.97927295432186e-13,1.0206232207691e-10
"PRODH",66.526984823454,-4.8283757392842,0.665733683764604,-7.25271359559366,4.08503302777044e-13,1.03211103125519e-10
"TSLP",200.671143488459,2.49143371002921,0.34470993557243,7.22762372918525,4.91518274242685e-13,1.22359137446767e-10
"ERRFI1",5300.41441516981,-2.39061859628647,0.330913716066352,-7.22429588203327,5.03704806558753e-13,1.23575579209081e-10
"RND2",241.433606552208,3.23365860022266,0.44929930535955,7.1971146219221,6.15000624635482e-13,1.46630008082105e-10
"SLC7A6",1178.90465064755,-1.46252156457491,0.203202129855123,-7.19737320478697,6.13835846235074e-13,1.46630008082105e-10
"GPRC5B",4770.19345151762,-2.03725955999241,0.283883425719475,-7.17639486993359,7.15736414485071e-13,1.68277583672268e-10
"SLC6A6",1295.70020478652,2.17179849315635,0.30447399261208,7.13295238954405,9.82385454158124e-13,2.27805766684777e-10
"AFAP1L1",625.119838252836,-1.90308899087186,0.267374477576345,-7.11769129246249,1.09749841778043e-12,2.51060178597123e-10
"CRABP2",2312.64839565795,1.76948147574949,0.249332251127276,7.09688164186279,1.27603247208576e-12,2.88009035832902e-10
"HIGD1A",2453.51481348092,-1.47091850795529,0.208070914520848,-7.06931341818036,1.55702126213634e-12,3.46805999019001e-10
"TLDC2",83.6069986961654,-4.64636444769934,0.664067609850037,-6.99682438772854,2.61829128827803e-12,5.7561603802559e-10
"LIF",217.75712784514,2.86297005505812,0.409399434729915,6.99309723509228,2.68883014399286e-12,5.83545085609117e-10
"MT1X",92.0654386341771,-3.30700798670889,0.473080500858916,-6.99037051982644,2.74161218372185e-12,5.87468494253716e-10
"PGBD5",206.894690424788,2.87604137877062,0.416774524556992,6.90071299781985,5.17421757373042e-12,1.09486443860136e-09
"DNAJB4",2637.01599765299,-1.58311661480225,0.229500014160396,-6.89811118571791,5.26984957126196e-12,1.1013335005225e-09
"CDKN2B",1018.21626150929,1.6438875589041,0.240033492050174,6.84857577525256,7.45888231460191e-12,1.52125252797086e-09
"SCDP1",338.582343726189,2.35307608750899,0.343540737594788,6.84948196823307,7.41178904484e-12,1.52125252797086e-09
"JADE1",2637.60623128872,-1.28277957033767,0.188061667627917,-6.82105814820097,9.03723497541437e-12,1.82121801980732e-09
"LINC00702",107.504040030775,-3.84419176428677,0.56950381628288,-6.7500720001801,1.47771806095707e-11,2.94291898069191e-09
"GXYLT2",1269.79495946544,1.5725308384301,0.233098540526762,6.7462062820147,1.51760819176537e-11,2.98721761281444e-09
"REV3L",11997.0607755249,-1.24038851934521,0.18543939536469,-6.68891589570722,2.24829890684744e-11,4.37462113736936e-09
"GPR68",90.2889572056125,4.25011663312854,0.636123080060711,6.681280347072,2.36863602836738e-11,4.5563943963867e-09
"SSH2",3638.63549085439,-1.4093460451042,0.211117927677642,-6.6756341377893,2.46165387869484e-11,4.68212099534228e-09
"IRS2",3303.02178253295,-1.96380689460561,0.294310211974779,-6.67257476874062,2.51353916383684e-11,4.72768788504778e-09
"MOB3B",77.1071350539585,-3.12264815900628,0.474215734202744,-6.58486830736669,4.5528875980925e-11,8.46937156708898e-09
"HIF3A",250.116801294735,-2.69166259371601,0.409051465857658,-6.58025412052344,4.69644885301508e-11,8.64146588954775e-09
"MT1E",388.095156683585,-1.82677823484767,0.278071255771772,-6.56946087353598,5.04977612457733e-11,9.19167852009086e-09
"CITED2",12296.487103656,-1.53836809663646,0.234388432780245,-6.56332771369644,5.26200255225497e-11,9.47608289410342e-09
"RASL11A",1620.28986858909,-2.24502619091434,0.34260111621402,-6.55288638788874,5.64354534405604e-11,1.00562037457032e-08
"TMEM35",1365.17637380903,1.36872638262912,0.210226920228398,6.5107093855634,7.47967277032585e-11,1.31891563183413e-08
"ARMC8",1058.43208677689,-1.47821627208279,0.227440685579409,-6.4993484710838,8.06686079389064e-11,1.40779195380393e-08
"ENC1",1298.03634204104,1.73146934155616,0.267240485648458,6.47906823457066,9.22907629036348e-11,1.5941816677885e-08
"ALOX15B",71.2074488593516,-9.85074883781762,1.52622048724638,-6.45434189891555,1.08690179383826e-10,1.85849227940345e-08
"LRRC17",2199.28359171809,2.29881866079411,0.357026113524521,6.43879697790292,1.20424148845073e-10,2.03853999164939e-08
